station_id,name,latitude,longitude,altitude,slots,free_bikes,empty_slots
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7
3983dd515589a80338dd44a28f5ec414,V34 - Mestizo,-33.394,-70.6,655.0,23,8,15
405a3a5ca08c7536d3eb286cf8553025,V10 - Casa Costanera,-33.398,-70.598,653.0,11,8,3
0e8dfc3f137cb3911bd32f5fd45e0f93,V35 - Municipalidad de Vitacura,-33.398,-70.601,645.0,15,9,3
bdf4fc889476008ea8c644640f306bbc,V07 - Bicentenario,-33.401,-70.602,646.0,17,8,8
477882df2d31d623abade49bdf25e0df,P37 - Obispo Salas,-33.437437,-70.627979,595.0,15,11,4
735311a8ce873508276f5bd302b7ee30,P36 - Carlos Antúnez /  Barros Errázuriz,-33.427396,-70.613888,616.0,27,21,6
cf259640d9cb69c5797fef69be2b2de0,V39 - Pedro Canisio,-33.40023,-70.577895,688.0,11,2,9
7bd8ad6395509f08cc2e711143e444cf,N14 - Plaza Augusto D'Halmar,-33.4377669,-70.5780226,632.0,19,6,13
b0375d378612dbb5f0d47d3ea97b34b7,N03 - Club Nunoa,-33.44851884,-70.58293104,614.0,11,5,5
eba0411421492675688381deae9c9690,N04 - Hospital Carabineros,-33.45057329,-70.6098175,587.0,15,13,2
9c9a20776a743c0c3c22d830a53e9c40,N08 - Manuel Montt / Union Literaria,-33.44799515,-70.61342239,582.0,15,9,6
39eb600831fdc9650063ca675cae6474,N12 - Plaza Nunoa,-33.45457462,-70.59325218,600.0,22,12,10
bf2bd19fe4876ba8f245b0a0014e0f17,N01 - Irarrazaval / Agustin Vigorena,-33.45538919,-70.58642596,604.0,15,10,5
558b5143b0d6480940e551f6bcc9fdf8,N10 - Metro Plaza Egaña,-33.45261426,-70.57100594,623.0,17,15,1
183c0afbd2b3824204f4433b4fe7e2ac,V06 - Vespucio / Vitacura,-33.39909006,-70.58823913,680.0,14,9,5
05821b3d2e87dc1f1d9cc9ebd6d4d121,V43 - Plaza Lo Castillo,-33.40037538,-70.59274524,661.0,15,11,4
515380f1d26844a45923bb8d5e4ce4b6,I06 - Mall Independencia,-33.4248825,-70.65469891,559.0,10,7,3
0c99ee0b13355f5e588ec62143918b8d,I04 - Molino,-33.41844854,-70.66366017,544.0,14,10,4
c5d9a5316c77696229fc0a118fa57e11,I01 - Metro Hospitales,-33.4178575,-70.65614462,555.0,15,12,1
136ee88e6c70715f4b2b51658eb3a563,S64 - República / Gorbea,-33.45354969,-70.66720605,543.0,15,14,1
95ba660d8126bac93b9881bd26238211,S30 - San Pablo,-33.43440048,-70.65666229,560.0,14,2,12
e6ebb27fb55ff20c6c6d3d213e5ac4f8,S18 - Metro Santa Ana,-33.43812949,-70.65915942,555.0,23,16,7
72991751fac2544c78666c0554568ef5,S25 - Plaza de Armas,-33.4371178,-70.64951152,578.0,18,13,5
61e752fc3dc6b09e9de81044c5d46877,S01 - Agustinas / Manuel Rodríguez Norte,-33.44173748,-70.65941155,552.0,17,16,1
e30e0892534ccc73f04093dd68c4ba18,V37 - Naciones Unidas,-33.40705698,-70.60117543,645.0,34,17,14
f47c8caaaa286888b55394a7e14b1510,S16 - Teatro Municipal,-33.440293,-70.647084,582.0,11,11,0
78fc95854f6c1643f5902b7cfc3e4d3a,P46 - Román Díaz,-33.4336798,-70.6208233,601.0,11,8,3
cb35387160fbefff0c8757457c4a04e4,S46 - Metro ULA,-33.449216,-70.672539,538.0,15,6,9
0f682aea93c07817ec51bb8870162b3b,V05 - Americo Vespucio / Las Hualtatas,-33.4039829,-70.5861602,673.0,15,5,10
a547b3e5b959c26c2555219583d434d9,P48 - Parque de las Esculturas Poniente,-33.420876,-70.614987,609.0,15,2,13
d066dd122e236fe52782b1bedba59537,P59 - Los Estanques,-33.435136,-70.608705,606.0,11,4,7
21d7422a6cfa70b5fc1b2aa8254a696c,P10 - Metro Manuel Montt,-33.428673,-70.619841,606.0,17,3,14
e8a20b3966a51b19d63d51d438026a0d,P43 - Los Españoles,-33.421237,-70.616921,613.0,11,7,4
0687a2ca2c61c5506bc5704be1368184,P44 - Andres Bello / Padre Mariano,-33.423521214382866,-70.61862420621684,617.0,11,9,1
a3c48fbfd528b71cb4d0b4bb710e173a,P01 - Andrés Bello / Gral. Holley,-33.41934560623177,-70.60962486853592,621.0,25,20,5
0f05e76ed818a2f2754e1126ce25ad13,P05 - Costanera Center 2,-33.41704537213051,-70.6049698654548,626.0,15,6,9
5c4795b049b597f3cd80e90403cf5f05,P18 - Metro Tobalaba,-33.418576632407984,-70.601339781629,634.0,23,10,13
