station_name,free_bikes,slots,altitude,avg_poi_rating,num_pois,avg_bar_rating,num_bars,avg_cafe_rating,num_cafes
P31 - Estación Canal 13,6,13,599.0,4.194871794871795,78,4.13,20,4.14,5
V34 - Mestizo,8,23,655.0,3.95625,80,4.0928571428571425,14,3.9923076923076923,13
V10 - Casa Costanera,8,11,653.0,4.16625,80,4.233333333333333,12,4.054545454545455,11
V35 - Municipalidad de Vitacura,9,15,645.0,4.124691358024692,81,4.0928571428571425,14,3.9916666666666667,12
V07 - Bicentenario,8,17,646.0,4.147560975609756,82,4.333333333333333,12,3.9384615384615387,13
P37 - Obispo Salas,11,15,595.0,4.219480519480519,77,4.16875,16,4.257142857142857,7
P36 - Carlos Antúnez /  Barros Errázuriz,21,27,616.0,4.2625,80,4.027272727272727,11,4.541666666666667,12
V39 - Pedro Canisio,2,11,688.0,3.9106666666666667,75,3.914285714285714,7,3.7583333333333333,12
N14 - Plaza Augusto D'Halmar,6,19,632.0,4.013999999999999,48,3.9,5,4.0,6
N03 - Club Nunoa,5,11,614.0,4.101538461538462,64,3.716666666666667,6,4.430769230769231,13
N04 - Hospital Carabineros,13,15,587.0,4.2253731343283585,67,3.966666666666667,6,4.372727272727273,11
N08 - Manuel Montt / Union Literaria,9,15,582.0,4.2656716417910445,67,4.45,4,4.314285714285714,7
N12 - Plaza Nunoa,12,22,600.0,3.944,75,3.96,20,3.757142857142857,7
N01 - Irarrazaval / Agustin Vigorena,10,15,604.0,4.150704225352112,71,3.8785714285714286,14,4.588888888888889,9
N10 - Metro Plaza Egaña,15,17,623.0,3.9857142857142858,62,3.1666666666666665,6,4.75,4
V06 - Vespucio / Vitacura,9,14,680.0,4.1537500000000005,80,4.066666666666667,12,4.09,10
V43 - Plaza Lo Castillo,11,15,661.0,4.366666666666666,81,4.271428571428571,14,4.16,10
I06 - Mall Independencia,7,10,559.0,3.8796296296296298,54,4.8,1,4.0,4
I04 - Molino,10,14,544.0,3.6999999999999997,7,,0,3.4,1
I01 - Metro Hospitales,12,15,555.0,3.81875,16,,0,3.4,1
S64 - República / Gorbea,14,15,543.0,4.155223880597014,67,4.2,5,4.288888888888889,9
S30 - San Pablo,2,14,560.0,4.158571428571429,70,4.533333333333333,3,4.188888888888889,9
S18 - Metro Santa Ana,16,23,555.0,4.230985915492957,70,4.3,2,4.3307692307692305,13
S25 - Plaza de Armas,13,18,578.0,4.132,75,4.333333333333333,3,4.233333333333333,9
