yelp_id,category_name
8N6Y3HsLXHBeFwhlO0YxwQ,Wine Bars
8N6Y3HsLXHBeFwhlO0YxwQ,Chilean
8N6Y3HsLXHBeFwhlO0YxwQ,Cocktail Bars
U15KdCy6HH05WISNtN9plQ,Latin American
y2FR-JBGie4wiW6RjtKLhg,Seafood
25PGm8dLZuar_Q0CZWK-dQ,Sandwiches
x72iXJX0J7kibMpisppZ9g,Bars
x72iXJX0J7kibMpisppZ9g,Italian
u-WjtuV5-d_Ffi-19pj8Kg,Parks
FTnehJpfn5t3iq_eGcE6pg,Chilean
FTnehJpfn5t3iq_eGcE6pg,Bars
O86DNpypfjb9drywlNy5tA,Museums
lmCk52sv-Vb5ncRXF_gHvw,Mexican
N-j6cssa5SGs9DptgFaKMg,Seafood
b5duAmqZb0KsiXn2beMlyw,Brasseries
_IAsgk5-aFA30gQwZKWtLQ,Burgers
_IAsgk5-aFA30gQwZKWtLQ,American
iSw2Zlx8kz9ECDhTkqVt1A,Mexican
nzBj5rgVus-t-PEI5bM2MA,Beer Bar
D4VeYaSEw9EaNCxqkloL6A,French
FGZa3gtFgwox699GEsvlRA,Lounges
FGZa3gtFgwox699GEsvlRA,Tapas Bars
qRNEPSS9PqH98_oXsH3eRw,Mediterranean
kWQxKQrcn3PNHzxsdPALcw,Australian
7fUOuXtQBsskDnza60AXAw,Japanese
7fUOuXtQBsskDnza60AXAw,Sushi Bars
7fUOuXtQBsskDnza60AXAw,Pan Asian
P70_h0e16Whjt1caVSa7GQ,Italian
y1WU1i7ZZmariGsuppuHhw,Japanese
LQHcI4vTAq1m8OiHKDiOvg,Tapas Bars
spa2Nr_sLf28GGiRrPQSMQ,Arcades
spa2Nr_sLf28GGiRrPQSMQ,Brasseries
iGvD2zDHJA6n21676oRyNg,Irish
iGvD2zDHJA6n21676oRyNg,Irish Pub
K8qFuurxpzXnGHfxh5aVFA,Seafood
K8qFuurxpzXnGHfxh5aVFA,Cafes
kwQ9uNRUECwYE9gsWklpwA,Brasseries
kwQ9uNRUECwYE9gsWklpwA,Sushi Bars
kwQ9uNRUECwYE9gsWklpwA,Karaoke
yP2UNxl1_r_9GUZbWhx1hg,Peruvian
cuhYTmS8dFcdRYx60wMhpw,Sandwiches
cuhYTmS8dFcdRYx60wMhpw,Peruvian
SYjQB4CntxSQtkmI6Ep3Vw,Seafood
GTCjahpqjFkcqVBSDSxZPw,Brasseries
kA1yxj80nRxZ7_NEZ6wGyg,Salad
kA1yxj80nRxZ7_NEZ6wGyg,Latin American
xHWhdGigvP3GrdZyc-CniQ,Burgers
2VZvMW76Pgsvmk536Bvndw,Ramen
SbKKTkR2M3jimPD7TZYY1w,Chinese
aePgSLTK25KTpqGUfgKZBA,Sandwiches
aePgSLTK25KTpqGUfgKZBA,Burgers
wGkjPdC4qoVYmNywXb2Pfg,Local Flavor
veOqBAWM7aepBqSVO9Z25g,Bars
veOqBAWM7aepBqSVO9Z25g,Chilean
nMqI2BL9gdNfj3Na3h_AfA,Sandwiches
nMqI2BL9gdNfj3Na3h_AfA,Beer Bar
O_0RUGG1svpmhdlVNrrgtw,Coffee & Tea
O_0RUGG1svpmhdlVNrrgtw,Juice Bars & Smoothies
NDHFR48lj2kDW8hs4a6oGA,Sushi Bars
7-68GEE37qW-_rGS2tldzQ,Cocktail Bars
BsCrA52gXDmtLMozeblBXA,Cafeteria
k9EHMwQLkuC9iHBYloSpZQ,Bistros
k9EHMwQLkuC9iHBYloSpZQ,French
kBqHGf7TA4bMax7SvjQM2g,Irish
kBqHGf7TA4bMax7SvjQM2g,Pubs
9si72Sfc-4gT4683arTA9g,Bars
rxt0ZpbSO1R1wHdpZPlhYA,Burgers
rxt0ZpbSO1R1wHdpZPlhYA,Salad
rxt0ZpbSO1R1wHdpZPlhYA,Cafes
irdd3jhMTF18kv-gn1cIfg,Mediterranean
irdd3jhMTF18kv-gn1cIfg,Seafood
irdd3jhMTF18kv-gn1cIfg,Tapas/Small Plates
a2HY9Rwo08JJuF00JxvhjQ,Thai
-rbEC5j11zAH6qcl_YhHng,Bakeries
-rbEC5j11zAH6qcl_YhHng,Coffee & Tea
-rbEC5j11zAH6qcl_YhHng,Breakfast & Brunch
Vs8LLb7gguxoW2fmDQrusQ,Tapas Bars
Vs8LLb7gguxoW2fmDQrusQ,Bars
KQ2D3gs9y0wIuTqoKOHO4w,Chilean
KQ2D3gs9y0wIuTqoKOHO4w,International
x_DdLWauj4tkkjapr8xFrQ,Japanese
DoA80AHI2YjhqemEHm9hEw,Playgrounds
DoA80AHI2YjhqemEHm9hEw,Dog Parks
9L7D68rsmWKp3ynU8xA4TQ,Peruvian
T6ENSUv8tDALgdBPdsTPWw,Seafood
275PG2F-LO8V54M2AAuQkQ,Steakhouses
2XQ9o3CwRH1HZr2f_abl4Q,Latin American
2XQ9o3CwRH1HZr2f_abl4Q,Bistros
KSjG0d5CMbDUfLkEvmyk_w,Steakhouses
jK0OawyZhe-xPuGMDwsQKQ,Bars
jK0OawyZhe-xPuGMDwsQKQ,Spanish
zHxuxEw1isR1qT9g1bSlRA,Nikkei
zHxuxEw1isR1qT9g1bSlRA,Bars
pdYeOOp57Oq163vCK8p5Zw,Peruvian
HscLEQuaaZ6Sa91pY4kfHg,Seafood
YHYoDWBZqI8QDJ2hqb8yPA,Steakhouses
jzkQARmHUZ3z3QCoWrQ0SQ,Bars
jzkQARmHUZ3z3QCoWrQ0SQ,Cafeteria
jzkQARmHUZ3z3QCoWrQ0SQ,Burgers
APHxt34txNliJj46TYcjdQ,German
WIHK2gHP7nqj1fWrqomWCQ,Steakhouses
e-SQwxGA6xn1nzK9yVDxcA,Bars
e-SQwxGA6xn1nzK9yVDxcA,Chilean
zI6h2r3AYtR4_co2gPfs4Q,Italian
MeE7iPh7g7zhy5-p7Tw-7A,Indian
JjU-L_5htqz8CrNPtkc8bg,Wine Bars
JjU-L_5htqz8CrNPtkc8bg,Spanish
TzlctOQDGHoWbl3jr2kxng,Signature Cuisine
TzlctOQDGHoWbl3jr2kxng,Seafood
i-MCqf26gfFZxBXWa2_hww,Cafes
i-MCqf26gfFZxBXWa2_hww,Breakfast & Brunch
eenDfnh2K0QnyA1gbPcI5Q,Restaurants
eenDfnh2K0QnyA1gbPcI5Q,Bars
fmRWKI8h6pNdvUSnOAjpCw,Seafood
TqAXDWjkIvJahOzoLHDzmA,Dance Clubs
TqAXDWjkIvJahOzoLHDzmA,Pubs
TqAXDWjkIvJahOzoLHDzmA,Music Venues
CgupCSWY9aT4KqDRBgp__A,Italian
aDwtP1TWsOlqRClj0lVNbg,Bars
aDwtP1TWsOlqRClj0lVNbg,Pizza
xdt-kVg2OnHf7L9v3pTnPQ,Restaurants
HQdRI9WclE5nEsx5rzh1pw,Vegetarian
HQdRI9WclE5nEsx5rzh1pw,Cafeteria
HQdRI9WclE5nEsx5rzh1pw,Breakfast & Brunch
f0n6OpllVuVQjnDSoWDEvg,Restaurants
leQEgtgmuv9iiJ0ame6OWg,Cafes
leQEgtgmuv9iiJ0ame6OWg,Sandwiches
GWkg8PNqnN4KqonoIeVisw,Gastropubs
GWkg8PNqnN4KqonoIeVisw,Italian
GWkg8PNqnN4KqonoIeVisw,Cocktail Bars
fydQV7H4p-S4tfsZm40_wg,Tapas Bars
mfwL_53Wdl4212bEWJsu_A,Signature Cuisine
EkJYvOEC4fpwDDuRmuTBLg,Italian
EkJYvOEC4fpwDDuRmuTBLg,Mediterranean
Nms5CJ7kZD49Q18KsU-SKQ,Cafeteria
Nms5CJ7kZD49Q18KsU-SKQ,French
Nms5CJ7kZD49Q18KsU-SKQ,Bakeries
AJWD53SZ6ITcoj_AYW7JDQ,French
p9wbHnJd5uD0UfsbJSaUfA,Cafes
p9wbHnJd5uD0UfsbJSaUfA,Ice Cream & Frozen Yogurt
5nkk_Cjm3LK1aUVuS3Naiw,Coffee & Tea
DLcVdNgxa5aJMfIXFjNZMg,Gastropubs
DLcVdNgxa5aJMfIXFjNZMg,Spanish
DLcVdNgxa5aJMfIXFjNZMg,Tapas Bars
KmawnSIeZsav51llD6zZ7Q,Pizza
KmawnSIeZsav51llD6zZ7Q,Italian
0hDz3AfRgQBNLVbmb-jXZw,Cocktail Bars
ACiVC7LXyjHqyrNs_5tDAw,Chocolatiers & Shops
ACiVC7LXyjHqyrNs_5tDAw,Cafes
5Yo7WBx7oEGSU-zmkv5MOw,Chilean
0GqyxgB4_MiFigKYDMNclQ,Active Life
0GqyxgB4_MiFigKYDMNclQ,Museums
9qtsTBA3CZtHHTCHsiNOsg,Seafood
9qtsTBA3CZtHHTCHsiNOsg,Chilean
BgrTycnvawTskMxM9QLbmA,Coffee & Tea
zUjsyfppBf2G2eMOT60ARQ,Ice Cream & Frozen Yogurt
rT1-hgqnPZN_kxGh1iBIkw,Italian
ejZA9S31g2ohBFgGJxyw9w,Bakeries
