yelp_id,category_name
8N6Y3HsLXHBeFwhlO0YxwQ,wine bars
8N6Y3HsLXHBeFwhlO0YxwQ,chilean
8N6Y3HsLXHBeFwhlO0YxwQ,cocktail bars
U15KdCy6HH05WISNtN9plQ,latin american
y2FR-JBGie4wiW6RjtKLhg,seafood
25PGm8dLZuar_Q0CZWK-dQ,sandwiches
x72iXJX0J7kibMpisppZ9g,bars
x72iXJX0J7kibMpisppZ9g,italian
u-WjtuV5-d_Ffi-19pj8Kg,parks
FTnehJpfn5t3iq_eGcE6pg,chilean
FTnehJpfn5t3iq_eGcE6pg,bars
O86DNpypfjb9drywlNy5tA,museums
lmCk52sv-Vb5ncRXF_gHvw,mexican
N-j6cssa5SGs9DptgFaKMg,seafood
b5duAmqZb0KsiXn2beMlyw,brasseries
_IAsgk5-aFA30gQwZKWtLQ,burgers
_IAsgk5-aFA30gQwZKWtLQ,american
iSw2Zlx8kz9ECDhTkqVt1A,mexican
nzBj5rgVus-t-PEI5bM2MA,beer bar
D4VeYaSEw9EaNCxqkloL6A,french
FGZa3gtFgwox699GEsvlRA,lounges
FGZa3gtFgwox699GEsvlRA,tapas bars
qRNEPSS9PqH98_oXsH3eRw,mediterranean
kWQxKQrcn3PNHzxsdPALcw,australian
7fUOuXtQBsskDnza60AXAw,japanese
7fUOuXtQBsskDnza60AXAw,sushi bars
7fUOuXtQBsskDnza60AXAw,pan asian
P70_h0e16Whjt1caVSa7GQ,italian
y1WU1i7ZZmariGsuppuHhw,japanese
LQHcI4vTAq1m8OiHKDiOvg,tapas bars
spa2Nr_sLf28GGiRrPQSMQ,arcades
spa2Nr_sLf28GGiRrPQSMQ,brasseries
iGvD2zDHJA6n21676oRyNg,irish
iGvD2zDHJA6n21676oRyNg,irish pub
K8qFuurxpzXnGHfxh5aVFA,seafood
K8qFuurxpzXnGHfxh5aVFA,cafes
kwQ9uNRUECwYE9gsWklpwA,brasseries
kwQ9uNRUECwYE9gsWklpwA,sushi bars
kwQ9uNRUECwYE9gsWklpwA,karaoke
yP2UNxl1_r_9GUZbWhx1hg,peruvian
cuhYTmS8dFcdRYx60wMhpw,sandwiches
cuhYTmS8dFcdRYx60wMhpw,peruvian
SYjQB4CntxSQtkmI6Ep3Vw,seafood
GTCjahpqjFkcqVBSDSxZPw,brasseries
kA1yxj80nRxZ7_NEZ6wGyg,salad
kA1yxj80nRxZ7_NEZ6wGyg,latin american
xHWhdGigvP3GrdZyc-CniQ,burgers
2VZvMW76Pgsvmk536Bvndw,ramen
SbKKTkR2M3jimPD7TZYY1w,chinese
aePgSLTK25KTpqGUfgKZBA,sandwiches
aePgSLTK25KTpqGUfgKZBA,burgers
wGkjPdC4qoVYmNywXb2Pfg,local flavor
veOqBAWM7aepBqSVO9Z25g,bars
veOqBAWM7aepBqSVO9Z25g,chilean
nMqI2BL9gdNfj3Na3h_AfA,sandwiches
nMqI2BL9gdNfj3Na3h_AfA,beer bar
O_0RUGG1svpmhdlVNrrgtw,coffee & tea
O_0RUGG1svpmhdlVNrrgtw,juice bars & smoothies
NDHFR48lj2kDW8hs4a6oGA,sushi bars
7-68GEE37qW-_rGS2tldzQ,cocktail bars
BsCrA52gXDmtLMozeblBXA,cafeteria
k9EHMwQLkuC9iHBYloSpZQ,bistros
k9EHMwQLkuC9iHBYloSpZQ,french
kBqHGf7TA4bMax7SvjQM2g,irish
kBqHGf7TA4bMax7SvjQM2g,pubs
9si72Sfc-4gT4683arTA9g,bars
rxt0ZpbSO1R1wHdpZPlhYA,burgers
rxt0ZpbSO1R1wHdpZPlhYA,salad
rxt0ZpbSO1R1wHdpZPlhYA,cafes
irdd3jhMTF18kv-gn1cIfg,mediterranean
irdd3jhMTF18kv-gn1cIfg,seafood
irdd3jhMTF18kv-gn1cIfg,tapas/small plates
a2HY9Rwo08JJuF00JxvhjQ,thai
-rbEC5j11zAH6qcl_YhHng,bakeries
-rbEC5j11zAH6qcl_YhHng,coffee & tea
-rbEC5j11zAH6qcl_YhHng,breakfast & brunch
Vs8LLb7gguxoW2fmDQrusQ,tapas bars
Vs8LLb7gguxoW2fmDQrusQ,bars
KQ2D3gs9y0wIuTqoKOHO4w,chilean
KQ2D3gs9y0wIuTqoKOHO4w,international
x_DdLWauj4tkkjapr8xFrQ,japanese
DoA80AHI2YjhqemEHm9hEw,playgrounds
DoA80AHI2YjhqemEHm9hEw,dog parks
9L7D68rsmWKp3ynU8xA4TQ,peruvian
T6ENSUv8tDALgdBPdsTPWw,seafood
275PG2F-LO8V54M2AAuQkQ,steakhouses
2XQ9o3CwRH1HZr2f_abl4Q,latin american
2XQ9o3CwRH1HZr2f_abl4Q,bistros
KSjG0d5CMbDUfLkEvmyk_w,steakhouses
jK0OawyZhe-xPuGMDwsQKQ,bars
jK0OawyZhe-xPuGMDwsQKQ,spanish
zHxuxEw1isR1qT9g1bSlRA,nikkei
zHxuxEw1isR1qT9g1bSlRA,bars
pdYeOOp57Oq163vCK8p5Zw,peruvian
HscLEQuaaZ6Sa91pY4kfHg,seafood
YHYoDWBZqI8QDJ2hqb8yPA,steakhouses
jzkQARmHUZ3z3QCoWrQ0SQ,bars
jzkQARmHUZ3z3QCoWrQ0SQ,cafeteria
jzkQARmHUZ3z3QCoWrQ0SQ,burgers
APHxt34txNliJj46TYcjdQ,german
WIHK2gHP7nqj1fWrqomWCQ,steakhouses
e-SQwxGA6xn1nzK9yVDxcA,bars
e-SQwxGA6xn1nzK9yVDxcA,chilean
zI6h2r3AYtR4_co2gPfs4Q,italian
MeE7iPh7g7zhy5-p7Tw-7A,indian
JjU-L_5htqz8CrNPtkc8bg,wine bars
JjU-L_5htqz8CrNPtkc8bg,spanish
TzlctOQDGHoWbl3jr2kxng,signature cuisine
TzlctOQDGHoWbl3jr2kxng,seafood
i-MCqf26gfFZxBXWa2_hww,cafes
i-MCqf26gfFZxBXWa2_hww,breakfast & brunch
eenDfnh2K0QnyA1gbPcI5Q,restaurants
eenDfnh2K0QnyA1gbPcI5Q,bars
fmRWKI8h6pNdvUSnOAjpCw,seafood
TqAXDWjkIvJahOzoLHDzmA,dance clubs
TqAXDWjkIvJahOzoLHDzmA,pubs
TqAXDWjkIvJahOzoLHDzmA,music venues
CgupCSWY9aT4KqDRBgp__A,italian
aDwtP1TWsOlqRClj0lVNbg,bars
aDwtP1TWsOlqRClj0lVNbg,pizza
xdt-kVg2OnHf7L9v3pTnPQ,restaurants
HQdRI9WclE5nEsx5rzh1pw,vegetarian
HQdRI9WclE5nEsx5rzh1pw,cafeteria
HQdRI9WclE5nEsx5rzh1pw,breakfast & brunch
f0n6OpllVuVQjnDSoWDEvg,restaurants
leQEgtgmuv9iiJ0ame6OWg,cafes
leQEgtgmuv9iiJ0ame6OWg,sandwiches
GWkg8PNqnN4KqonoIeVisw,gastropubs
GWkg8PNqnN4KqonoIeVisw,italian
GWkg8PNqnN4KqonoIeVisw,cocktail bars
fydQV7H4p-S4tfsZm40_wg,tapas bars
mfwL_53Wdl4212bEWJsu_A,signature cuisine
EkJYvOEC4fpwDDuRmuTBLg,italian
EkJYvOEC4fpwDDuRmuTBLg,mediterranean
Nms5CJ7kZD49Q18KsU-SKQ,cafeteria
Nms5CJ7kZD49Q18KsU-SKQ,french
Nms5CJ7kZD49Q18KsU-SKQ,bakeries
AJWD53SZ6ITcoj_AYW7JDQ,french
p9wbHnJd5uD0UfsbJSaUfA,cafes
p9wbHnJd5uD0UfsbJSaUfA,ice cream & frozen yogurt
5nkk_Cjm3LK1aUVuS3Naiw,coffee & tea
DLcVdNgxa5aJMfIXFjNZMg,gastropubs
DLcVdNgxa5aJMfIXFjNZMg,spanish
DLcVdNgxa5aJMfIXFjNZMg,tapas bars
KmawnSIeZsav51llD6zZ7Q,pizza
KmawnSIeZsav51llD6zZ7Q,italian
0hDz3AfRgQBNLVbmb-jXZw,cocktail bars
ACiVC7LXyjHqyrNs_5tDAw,chocolatiers & shops
ACiVC7LXyjHqyrNs_5tDAw,cafes
5Yo7WBx7oEGSU-zmkv5MOw,chilean
0GqyxgB4_MiFigKYDMNclQ,active life
0GqyxgB4_MiFigKYDMNclQ,museums
9qtsTBA3CZtHHTCHsiNOsg,seafood
9qtsTBA3CZtHHTCHsiNOsg,chilean
BgrTycnvawTskMxM9QLbmA,coffee & tea
zUjsyfppBf2G2eMOT60ARQ,ice cream & frozen yogurt
rT1-hgqnPZN_kxGh1iBIkw,italian
ejZA9S31g2ohBFgGJxyw9w,bakeries
Bn-IXy0-PSRVKSBk7LpJEg,bakeries
wNpZQ4fgvRSQfOzBrVRa-Q,asian fusion
3HH0wU6B5tCiRteejlBZdg,signature cuisine
3HH0wU6B5tCiRteejlBZdg,chilean
sK0uAwUhsFII6MkuyiMCFA,steakhouses
k0D0ekVWECKBu_MPEl94eg,peruvian
gLeMMTx60QKlbgNvU_U6HQ,pizza
